"%d days ago","%d days ago"
"%d hours ago","%d hours ago"
"%d minutes ago","%d minutes ago"
"%d seconds ago","%d seconds ago"
"&#9888; By preventing your store from backend rendering you might break your SEO and accessibility of your store by search crawlers. Please, read documentation before you turn the backend rendering off: Prevent Backend Rendering can improve SEO and performance","&#9888; By preventing your store from backend rendering you might break your SEO and accessibility of your store by search crawlers. Please, read documentation before you turn the backend rendering off: Prevent Backend Rendering can improve SEO and performance"
"(no prefix)","(no prefix)"
"Action","Action"
"Actions","Actions"
"Add/Update","Add/Update"
"Additional Section","Additional Section"
"Additional sections' indices extra settings","Additional sections' indices extra settings"
"Add to Cart","Add to Cart"
"Advanced","Advanced"
"Advanced - Extra Meilisearch indices settings","Advanced - Extra Meilisearch indices settings"
"All categories","All categories"
"All departments","All departments"
"AllOptional","AllOptional"
"Allow backend rendering for User Agents:","Allow backend rendering for User Agents:"
"All visible products","All visible products"
"Amasty_Shopby module is not installed. This indexer will not run.","Amasty_Shopby module is not installed. This indexer will not run."
"Are you sure you want to clear the entire queue?","Are you sure you want to clear the entire queue?"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Are you sure you want to delete this index?","Are you sure you want to delete this index?"
"Are you sure you want to reset selected items for retry?","Are you sure you want to reset selected items for retry?"
"Attributes","Attributes"
"Base Image","Base Image"
"Blog Posts","Blog Posts"
"Categories","Categories"
"Categories' indices extra settings","Categories' indices extra settings"
"Categories without static blocks","Categories without static blocks"
"Category","Category"
"Choose here if you want the default Magento category pages to be replaced by an instant-search results page when a category is selected either in the menu of categories or in the drop-down menu.","Choose here if you want the default Magento category pages to be replaced by an instant-search results page when a category is selected either in the menu of categories or in the drop-down menu."
"Choose here if you want to add an ""add to cart"" button in the template.","Choose here if you want to add an ""add to cart"" button in the template."
"Choose here if you want to index out of stock options for configurable products","Choose here if you want to index out of stock options for configurable products"
"Choose here if you want to show most popular queries suggestions when there are no results","Choose here if you want to show most popular queries suggestions when there are no results"
"Choose here the textfield attributes that you don't want to be turned into numeric values (i.e. : if you don't want ""00123"" turned into ""123"")","Choose here the textfield attributes that you don't want to be turned into numeric values (i.e. : if you don't want ""00123"" turned into ""123"")"
"Choose if a query to Meilisearch is done by the backend for SEO when instant search is enabled","Choose if a query to Meilisearch is done by the backend for SEO when instant search is enabled"
"Class","Class"
"Clear all","Clear all"
"Clear All Indexes","Clear All Indexes"
"Clear Queue","Clear Queue"
"CMS Page","CMS Page"
"Configurations","Configurations"
"Created","Created"
"Created At","Created At"
"Credentials & Setup","Credentials & Setup"
"CSS selector(s) for the search input(s) to attach autocomplete to. Comma-separated lists are supported. Default `.meilisearch-search-input`.","CSS selector(s) for the search input(s) to attach autocomplete to. Comma-separated lists are supported. Default `.meilisearch-search-input`."
"CSV","CSV"
"Customer Groups","Customer Groups"
"Custom Ranking Rules","Custom Ranking Rules"
"Custom Search Results URL","Custom Search Results URL"
"Data","Data"
"Database Size","Database Size"
"Data Size","Data Size"
"Delete","Delete"
"Deleted %d MeiliSearch indexes and cleared the queue","Deleted %d MeiliSearch indexes and cleared the queue"
"Delete Index","Delete Index"
"Documents","Documents"
"DOM Selector","DOM Selector"
"Enable Auto-completion Menu","Enable Auto-completion Menu"
"Enable autocomplete menu's debug mode","Enable autocomplete menu's debug mode"
"Enable Indexing","Enable Indexing"
"Enable Instant Search Results Page","Enable Instant Search Results Page"
"Enable Logging","Enable Logging"
"Enable Search","Enable Search"
"Enable Synonyms management","Enable Synonyms management"
"Enter here the SKU(s) you want to reindex separated by commas or carriage returns.","Enter here the SKU(s) you want to reindex separated by commas or carriage returns."
"Error","Error"
"Error clearing indexes: %s","Error clearing indexes: %s"
"Error connecting to MeiliSearch: %s","Error connecting to MeiliSearch: %s"
"Error Log","Error Log"
"Error reindexing: %s","Error reindexing: %s"
"Excluded Pages","Excluded Pages"
"Failed","Failed"
"Failed: %s","Failed: %s"
"FirstWords","FirstWords"
"Go","Go"
"Height","Height"
"ID","ID"
"If set to No, Meilisearch extension will not index your data automatically.","If set to No, Meilisearch extension will not index your data automatically."
"If set to No, search will be done by Magento but indexing will be done by Meilisearch","If set to No, search will be done by Magento but indexing will be done by Meilisearch"
"If set to No, synonyms will be managed only in Meilisearch's dashboard and won't get overriden by Magento","If set to No, synonyms will be managed only in Meilisearch's dashboard and won't get overriden by Magento"
"If set to Yes, Meilisearch will display all categories in both the autocomplete menu and instant search page ignoring if they contain products or not. Default value: No","If set to Yes, Meilisearch will display all categories in both the autocomplete menu and instant search page ignoring if they contain products or not. Default value: No"
"If set to Yes, Meilisearch will display all categories in both the autocomplete menu and instant search page ignoring the setting: ""Include in navigation menu"". Default value: No","If set to Yes, Meilisearch will display all categories in both the autocomplete menu and instant search page ignoring the setting: ""Include in navigation menu"". Default value: No"
"Images","Images"
"in","in"
"Index deleted successfully","Index deleted successfully"
"Index empty categories?","Index empty categories?"
"Indexing Queue","Indexing Queue"
"Indexing Queue / Cron","Indexing Queue / Cron"
"Indexing Queue Job ID is not set.","Indexing Queue Job ID is not set."
"Index Name","Index Name"
"Index Name Prefix","Index Name Prefix"
"Index out of stock options for configurable products","Index out of stock options for configurable products"
"Index Prefix","Index Prefix"
"Index products with visibility:","Index products with visibility:"
"Index UID does not match the configured prefix.","Index UID does not match the configured prefix."
"Index whole category tree of product","Index whole category tree of product"
"It can be :","It can be :"
"Job ID","Job ID"
"Last Update","Last Update"
"LastWords","LastWords"
"Make SEO request","Make SEO request"
"Manage Indexes","Manage Indexes"
"Master Key","Master Key"
"Max number of element per indexing job","Max number of element per indexing job"
"Max Retries","Max Retries"
"Meilisearch Barcode Scanner Index","Meilisearch Barcode Scanner Index"
"MeiliSearch client not initialized. Please check your configuration.","MeiliSearch client not initialized. Please check your configuration."
"MeiliSearch Indexing Queue","MeiliSearch Indexing Queue"
"MeiliSearch Index Management","MeiliSearch Index Management"
"Meilisearch Search","Meilisearch Search"
"MeiliSearch Search","MeiliSearch Search"
"Meilisearch Search - Indexing Queue","Meilisearch Search - Indexing Queue"
"Meilisearch Search - Indexing Queue Job #%s","Meilisearch Search - Indexing Queue Job #%s"
"Meilisearch Search - Reindex SKU(s)","Meilisearch Search - Reindex SKU(s)"
"Meilisearch Search Additional autocomplete sections","Meilisearch Search Additional autocomplete sections"
"Meilisearch Search Amasty Pages","Meilisearch Search Amasty Pages"
"Meilisearch Search Amasty Pages (Module Not Installed)","Meilisearch Search Amasty Pages (Module Not Installed)"
"Meilisearch Search Blog Posts","Meilisearch Search Blog Posts"
"Meilisearch Search Categories","Meilisearch Search Categories"
"Meilisearch Search Configuration","Meilisearch Search Configuration"
"Meilisearch Search FAQs","Meilisearch Search FAQs"
"Meilisearch Search Pages","Meilisearch Search Pages"
"Meilisearch Search Products","Meilisearch Search Products"
"Meilisearch Search Queue Runner","Meilisearch Search Queue Runner"
"Meilisearch Search Suggestions","Meilisearch Search Suggestions"
"Meilisearch Server URL","Meilisearch Server URL"
"MeiliSearch Server URL is required.","MeiliSearch Server URL is required."
"MeiliSearch Status","MeiliSearch Status"
"Method","Method"
"Min number of products per query","Min number of products per query"
"Min query popularity","Min query popularity"
"Move Index","Move Index"
"Next page","Next page"
"No","No"
"No indexes found","No indexes found"
"None","None"
"No products for query","No products for query"
"No results","No results"
"Number of blog posts","Number of blog posts"
"Number of categories","Number of categories"
"Number of jobs to run each time the cron is run","Number of jobs to run each time the cron is run"
"Number of products","Number of products"
"Number of products per page in the instant result page","Number of products per page in the instant result page"
"Number of times to retry processing of queued jobs","Number of times to retry processing of queued jobs"
"Object IDs","Object IDs"
"Oldest: %s","Oldest: %s"
"One-way Synonyms","One-way Synonyms"
"Only products visible in Catalog","Only products visible in Catalog"
"Only products visible in Search","Only products visible in Search"
"or","or"
"or in","or in"
"Pages","Pages"
"Pages' indices extra settings","Pages' indices extra settings"
"Pending","Pending"
"Pending: %s","Pending: %s"
"PID","PID"
"Please enter a valid URL (e.g., http://localhost:7700 or https://your-meilisearch-instance.com)","Please enter a valid URL (e.g., http://localhost:7700 or https://your-meilisearch-instance.com)"
"Prevent backend rendering?","Prevent backend rendering?"
"Prevent backend rendering for:","Prevent backend rendering for:"
"Previous page","Previous page"
"Primary Key","Primary Key"
"Processing","Processing"
"Processing: %s","Processing: %s"
"Process Queue Now","Process Queue Now"
